Cell_Af,Cell_Cf,InterneuronCellf,SOM_Cell,CR_Cell
-70.0921148907007,-70.0921148907007,-69.99986390850427,-70.0,-63.0934418457933
-70.09241801727497,-70.09241801727497,-69.9998636321253,-70.0,-63.07893531495009
-70.09272051009187,-70.09272051009187,-69.99986335712127,-70.0,-63.06449824289046
-70.09302237029253,-70.09302237029253,-69.99986308348532,-70.0,-63.050130300979916
-70.09332359901644,-70.09332359901644,-69.99986281121065,-70.0,-63.03583116212596
-70.09362419740144,-70.09362419740144,-69.9998625402905,-70.0,-63.02160050077088
-70.0939241665837,-70.0939241665837,-69.99986227071811,-70.0,-63.007437992884654
-70.09422350769775,-70.09422350769775,-69.9998620024868,-70.0,-62.99334331595781
-70.09452222187643,-70.09452222187643,-69.99986173558986,-70.0,-62.97931614899433
-70.09482031025094,-70.09482031025094,-69.99986147002069,-70.0,-62.96535617250463
-70.09511777395083,-70.09511777395083,-69.99986120577266,-70.0,-62.951463068498626
-70.095414614104,-70.095414614104,-69.9998609428392,-70.0,-62.93763652047868
-70.09571083183664,-70.09571083183664,-69.99986068121379,-70.0,-62.92387621343264
-70.09600642827333,-70.09600642827333,-69.9998604208899,-70.0,-62.91018183382697
-70.09630140453694,-70.09630140453694,-69.99986016186106,-70.0,-62.89655306959982
-70.09659576174874,-70.09659576174874,-69.99985990412085,-70.0,-62.8829896101542
-70.0968895010283,-70.0968895010283,-69.99985964766284,-70.0,-62.86949114635115
-70.09718262349351,-70.09718262349351,-69.99985939248066,-70.0,-62.85605737050297
-70.09747513026065,-70.09747513026065,-69.99985913856796,-70.0,-62.84268797636642
-70.09776702244429,-70.09776702244429,-69.9998588859184,-70.0,-62.82938265913606
-70.09805830115737,-70.09805830115737,-69.99985863452572,-70.0,-62.81614111543749
-70.09834896751116,-70.09834896751116,-69.99985838438367,-70.0,-62.80296304332073
-70.09863902261527,-70.09863902261527,-69.99985813548602,-70.0,-62.78984814225356
-70.09892846757765,-70.09892846757765,-69.9998578878266,-70.0,-62.77679611311494
-70.0992173035046,-70.0992173035046,-69.99985764139922,-70.0,-62.76380665818842
-70.09950553150074,-70.09950553150074,-69.99985739619777,-70.0,-62.750879481155614
-70.09979315266905,-70.09979315266905,-69.99985715221612,-70.0,-62.73801428708966
-70.10008016811086,-70.10008016811086,-69.99985690944825,-70.0,-62.72521078244877
-70.10036657892583,-70.10036657892583,-69.9998566678881,-70.0,-62.712468675069765
-70.10065238621195,-70.10065238621195,-69.99985642752964,-70.0,-62.69978767416165
-70.10093759106559,-70.10093759106559,-69.99985618836692,-70.0,-62.68716749029922
-70.10122219458144,-70.10122219458144,-69.999855950394,-70.0,-62.67460783541671
-70.10150619785256,-70.10150619785256,-69.99985571360492,-70.0,-62.66210842280145
-70.10178960197034,-70.10178960197034,-69.99985547799382,-70.0,-62.64966896708757
